album_id,name,artist,no_tracks,release_date,popularity,genres
Lxkvhp652FA,Hollywood's Bleeding,Aapbwg488DY,17,2019-09-06 00:00:00,89,[]
Lhwhfz974QD,Shawn Mendes (Deluxe),Aoiekc907LD,16,2019-06-19 00:00:00,76,[]
Lnqeii470SX,Divinely Uninspired To A Hellish Extent,Adecdw721RE,12,2019-05-17 00:00:00,86,[]
Lomcxw030XN,Please Excuse Me for Being Antisocial,Aopefo013AM,16,2019-12-06 00:00:00,82,[]
Lsmpge491IU,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Akczza920HQ,14,2019-03-29 00:00:00,89,[]
Lytzcn405QY,Fine Line,Apztyy158PM,12,2019-12-13 00:00:00,92,[]
Lrwykp161GL,JACKBOYS,Autukh297OJ,7,2019-12-27 00:00:00,80,[]
Ljnciq598NY,Romance,Auztlk030MY,14,2019-12-06 00:00:00,76,[]
Lticzq921MA,KIRK,Adfswq621OR,13,2019-09-27 00:00:00,79,[]
Lxzowc539IH,No.6 Collaborations Project,Aulenb740HF,15,2019-07-12 00:00:00,82,[]
Lnvolo862MP,Goodbye & Good Riddance,Agxoxj358CJ,17,2018-12-10 00:00:00,89,[]
Lahaag618DP,Divinely Uninspired To A Hellish Extent (Extended Edition),Adecdw721RE,15,2019-11-22 00:00:00,79,[]
Lqamwa613OI,"thank u, next",Apkgmp051IT,12,2019-02-08 00:00:00,87,[]
Lkokgv813PG,OASIS,Avfjzx106RC,8,2019-06-28 00:00:00,83,[]
Lifwim859EG,7 EP,Autxgl880SJ,8,2019-06-21 00:00:00,81,[]
Llsbfz949UF,Melly vs. Melvin,Aezhvl437CV,14,2019-11-22 00:00:00,74,[]
Lggenz209TF,Intimo,Apzcbx799GY,15,2019-11-01 00:00:00,74,[]
Libxqk501UX,‘The ReVe Festival’ Finale,Aebuab478KW,16,2019-12-23 00:00:00,72,[]
Ljjmnm790TG,Famouz,Ansdhp180ZW,13,2019-05-24 00:00:00,74,[]
Lvzapz844IM,We Love You Tecca,Akzkad529ZW,18,2019-08-30 00:00:00,82,[]
Lvpmai526JG,Perfect Ten,Agugoe424QQ,10,2019-06-28 00:00:00,78,[]
Lszydu327XV,Melt (Deluxe),Apstnx397JU,15,2019-12-27 00:00:00,0,[]
Lxxpqx862BU,A Star Is Born Soundtrack,Abvrrh783GZ,34,2018-10-05 00:00:00,81,[]
Logawl311NM,Good as Hell (feat. Ariana Grande) [Remix],Avxxpu627LZ,2,2016-01-01 00:00:00,64,[]
Lyebcu703HZ,Heavy Is The Head,Aeljyz455UH,16,2019-12-13 00:00:00,74,[]
Laorao399GU,YOU,Aatdqc018ZR,9,2019-11-08 00:00:00,76,[]
Lasoxf168VE,Death Race For Love,Agxoxj358CJ,22,2019-03-08 00:00:00,86,[]
Lclkdp515YG,~how i'm feeling~,Aivlsf137OU,7,2019-11-14 00:00:00,0,[]
